# id	left	top	right	bottom	texture_id
[SPRITES]
#BASE
100000	0	0	271	31	40

#NUMBER (0 - 9) AND LETTER (A - Z)
100001	33	32	42	41	41
100002	43	32	52	41	41
100003	53	32	62	41	41
100004	63	32	72	41	41
100005	73	32	82	41	41
100006	83	32	92	41	41
100007	93	32	102	41	41
100008	103	32	112	41	41
100009	113	32	122	41	41
100010	123	32	132	41	41
100011	133	32	142	41	41
100012	143	32	152	41	41
100013	33	42	42	51	41
100014	43	42	52	51	41
100015	53	42	62	51	41
100016	63	42	72	51	41
100017	73	42	82	51	41
100018	83	42	92	51	41
100019	93	42	102	51	41
100020	103	42	112	51	41
100021	113	42	122	51	41
100022	123	42	132	51	41
100023	133	42	142	51	41
100024	143	42	152	51	41
100025	33	52	42	61	41
100026	43	52	52	61	41
100027	53	52	62	61	41
100028	63	52	72	61	41
100029	73	52	82	61	41
100030	83	52	92	61	41
100031	93	52	102	61	41
100032	103	52	112	61	41
100033	113	52	122	61	41
100034	123	52	132	61	41
100035	133	52	142	61	41
100036	143	52	152	61	41

#M ICON
100037	8	43	25	50	41

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
