# id	left	top	right	bottom	texture_id
[SPRITES]
50000	12	16	29	33	20		
50001	74	17	91	32	20
50002	52	17	69	32	20

#1UP MUSHROOM
50003	33	16	50	33	20

#RED MUSHROOM RISE ANIMATION
50010	12	1	29	18	20
50011	12	2	29	19	20
50012	12	3	29	20	20
50013	12	4	29	21	20
50014	12	5	29	22	20
50015	12	6	29	23	20
50016	12	7	29	24	20
50017	12	8	29	25	20
50018	12	9	29	26	20
50019	12	10	29	27	20
50020	12	11	29	28	20
50021	12	12	29	29	20
50022	12	13	29	30	20
50023	12	14	29	31	20

#1UP MUSHROOM RISE ANIMATION
50030	33	1	50	18	20
50031	33	2	50	19	20
50032	33	3	50	20	20
50033	33	4	50	21	20
50034	33	5	50	22	20
50035	33	6	50	23	20
50036	33	7	50	24	20
50037	33	8	50	25	20
50038	33	9	50	26	20
50039	33	10	50	27	20
50040	33	11	50	28	20
50041	33	12	50	29	20
50042	33	13	50	30	20
50043	33	14	50	31	20


# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
#RED MUSHROOM RISE ANIMATION
14000	50010	50	50011	50	50012	50	50013	50	50014	50	50015	50	50016	50	50017	50	50018	50	50019	50	50020	50	50021	50	50022	50	50023	50

14001	50030	50	50031	50	50032	50	50033	50	50034	50	50035	50	50036	50	50037	50	50038	50	50039	50	50040	50	50041	50	50042	50	50043	50
