# id	left	top	right	bottom	texture_id
[SPRITES]
#tussock
80000	206	37	223	54	30
80001	224	37	241	54	30
80002 	242	37	259	54	30
80003	206 	55	223	72	30
80004	224	55	241	72	30
80005	206	73	223	90	30
80006	224 	73 	241	90	30

# grass
80007	242	55	259	72	30

# clouds
80008	26	37	43	54	30
80009	44	37	61	54	30
80010	62	37	79	54	30
80011	26 	55	43	72	30
80012	44	55	61	72	30
80013	62	55	79	72	30

#stars
80014	26	73	43	90	30
80015	44	73	61	90	30
80016	62	73	79	90	30

#BLACK background	
80020	26	271	43	288	30
80021	302	37	319	54	30

#Black tussock
80022	44	271	61	288	30
80023	62	271	79	288	30
80024	44	289	61	306	30
80025	62	289	79	306	30

#Goal roulette
80026	26	217	43	234	30
80027	44	217	61	234	30
80028	62	217	79	234	30
80029	26	235	43	252	30
80030	44	235	61	252	30
80031	62	235	79	252	30
80032	26	253	43	270	30
80033	44	253	61	270	30
80034	62	253	79	270	30

#1-4 BIG CLOUD
80035	276	37	293	54	31
80036	294	37	311	54	31

#SMALL CLOUD
80037	312	37	329	54	31

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]

